,created_on,sentiment,playerid,player_name
187,2016-03-29 02:16:18.350,1,40000991,Phil Mickelson
188,2016-03-29 02:16:30.359,1,40001543,Lee Westwood
189,2016-03-30 15:08:07.405,1,40000479,Sergio Garcia
190,2016-03-30 15:08:21.827,1,40000008,J.B. Holmes
191,2016-03-31 00:33:58.483,1,40001215,Kyle Reifers
192,2016-03-31 00:35:05.598,1,40001211,Chez Reavie
193,2016-03-31 00:35:26.119,1,40001092,Louis Oosthuizen
194,2016-04-05 12:01:43.362,1,40000001,Bubba Watson
195,2016-04-05 12:23:14.820,1,40000007,Brooks Koepka
196,2016-04-05 12:23:30.939,1,40000003,Rickie Fowler
197,2016-04-05 12:23:46.935,1,40000010,Adam Scott
198,2016-04-05 12:24:04.573,1,40000013,Justin Rose
199,2016-04-05 12:24:30.398,1,40000002,Patrick Reed
200,2016-04-05 12:24:50.286,1,40000314,Jason Day
201,2016-04-05 12:25:05.627,1,40000004,Jordan Spieth
202,2016-04-05 12:25:44.958,1,40000017,Hideki Matsuyama
203,2016-04-05 12:26:10.251,1,40000738,Smylie Kaufman
204,2016-04-05 12:26:28.356,1,40001373,Henrik Stenson
205,2016-04-05 20:37:17.681,-1,40001092,Louis Oosthuizen
206,2016-04-06 00:27:51.888,1,40001092,Louis Oosthuizen
207,2016-04-06 00:29:16.823,1,40000632,Charley Hoffman
208,2016-04-06 00:29:41.360,1,40001156,Scott Piercy
209,2016-04-06 12:31:35.486,1,40001560,Bernd Wiesberger
210,2016-04-06 16:18:06.567,1,40000965,Rory McIlroy
211,2016-04-06 18:57:05.331,1,40000010,Adam Scott
212,2016-04-06 19:56:03.313,-1,40000004,Jordan Spieth
213,2016-04-06 23:12:08.594,-1,40000314,Jason Day
214,2016-04-06 23:24:18.009,1,40000005,Bill Haas
215,2016-04-06 23:35:54.674,1,40001434,Justin Thomas
216,2016-04-07 02:32:47.475,1,40000115,Daniel Berger
217,2016-04-11 15:21:58.610,-1,40000602,David Hearn
218,2016-04-11 15:23:33.932,-1,40001536,Mike Weir
219,2016-04-11 15:24:55.586,1,40000014,Matt Kuchar
220,2016-04-11 15:25:13.311,1,40001343,Brandt Snedeker
221,2016-04-11 15:25:37.579,1,40000115,Daniel Berger
222,2016-04-11 16:53:00.048,1,40000006,Paul Casey
223,2016-04-11 17:10:47.834,1,40000770,Kevin Kisner
224,2016-04-11 17:16:34.973,1,40000325,Graham DeLaet
225,2016-04-11 17:17:36.155,1,40000314,Jason Day
226,2016-04-12 00:35:58.225,1,40000867,David Lingmerth
227,2016-04-12 00:37:44.838,1,40000430,Matthew Fitzpatrick
228,2016-04-12 00:49:55.094,1,40000954,Graeme McDowell
229,2016-04-12 20:00:59.091,1,40000140,Jason Bohn
230,2016-04-13 01:58:46.804,1,40000006,Paul Casey
231,2016-04-13 01:58:57.941,1,40000229,Roberto Castro
232,2016-04-13 01:59:40.082,1,40000345,Luke Donald
233,2016-04-13 02:00:00.123,1,40000005,Bill Haas
234,2016-04-13 02:00:22.245,1,40000743,Jerry Kelly
